,param_C,param_kernel,param_gamma,param_shrinking,param_break_ties,param_decision_function_shape,mean_test_score,std_test_score,variance
87,1.5555555555555556,sigmoid,scale,False,True,ovr,0.9823529411764707,0.02352941176470589,0.0005536332179930798
119,1.5555555555555556,sigmoid,scale,False,False,ovr,0.9823529411764707,0.02352941176470589,0.0005536332179930798
118,1.5555555555555556,sigmoid,scale,True,False,ovr,0.9823529411764707,0.02352941176470589,0.0005536332179930798
102,1.5555555555555556,sigmoid,scale,True,False,ovo,0.9823529411764707,0.02352941176470589,0.0005536332179930798
103,1.5555555555555556,sigmoid,scale,False,False,ovo,0.9823529411764707,0.02352941176470589,0.0005536332179930798
86,1.5555555555555556,sigmoid,scale,True,True,ovr,0.9823529411764707,0.02352941176470589,0.0005536332179930798
170,2.611111111111111,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
470,7.888888888888889,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
471,7.888888888888889,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
166,2.611111111111111,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
167,2.611111111111111,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
547,8.944444444444445,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
546,8.944444444444445,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
211,3.666666666666667,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
171,2.611111111111111,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
162,2.611111111111111,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
295,4.722222222222222,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
