,param_solver,param_C,param_fit_intercept,param_penalty,mean_test_score,std_test_score,variance
303,saga,20.0,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
229,lbfgs,15.666666666666666,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
165,lbfgs,11.333333333333332,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
166,sag,11.333333333333332,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
167,saga,11.333333333333332,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
175,saga,11.333333333333332,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
143,saga,9.166666666666666,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
196,newton-cg,13.5,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
47,saga,2.6666666666666665,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
197,lbfgs,13.5,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
198,sag,13.5,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
199,saga,13.5,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
207,saga,13.5,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
79,saga,4.833333333333333,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
228,newton-cg,15.666666666666666,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
164,newton-cg,11.333333333333332,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
230,sag,15.666666666666666,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
239,saga,15.666666666666666,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
111,saga,7.0,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
271,saga,17.833333333333332,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
15,saga,0.5,False,none,0.9882352941176471,0.02352941176470589,0.0005536332179930798
231,saga,15.666666666666666,False,l2,0.9882352941176471,0.02352941176470589,0.0005536332179930798
